,fecha,fecha_dias,casos_nuevos,casos_nuevos_mujeres,casos_nuevos_hombres,casos_totales,casos_totales_mujeres,casos_totales_hombres,muertes_nuevos,muertes_nuevos_mujeres,muertes_nuevos_hombres,muertes_totales,muertes_totales_mujeres,muertes_totales_hombres
0,2020-03-02,0.0,1,0,1,1,0,1,0,0,0,0,0,0
1,2020-03-03,1.0,2,0,2,3,0,3,0,0,0,0,0,0
2,2020-03-04,2.0,1,1,0,4,1,3,0,0,0,0,0,0
3,2020-03-05,3.0,5,1,4,9,2,7,0,0,0,0,0,0
4,2020-03-06,4.0,1,0,1,10,2,8,0,0,0,0,0,0
5,2020-03-07,5.0,6,4,2,16,6,10,1,0,0,1,0,0
6,2020-03-08,6.0,2,1,1,18,7,11,0,0,0,1,0,0
7,2020-03-09,7.0,4,2,2,22,9,13,0,0,0,1,0,0
8,2020-03-10,8.0,8,1,7,30,10,20,0,0,0,1,0,0
9,2020-03-11,9.0,11,3,8,41,13,28,0,0,0,1,0,0
10,2020-03-12,10.0,19,5,14,60,18,42,0,0,0,1,0,0
11,2020-03-13,11.0,32,17,15,92,35,57,1,0,0,2,0,0
12,2020-03-14,12.0,11,3,8,103,38,65,0,0,0,2,0,0
13,2020-03-15,13.0,16,8,8,119,46,73,0,0,0,2,0,0
14,2020-03-16,14.0,27,7,20,146,53,93,0,0,0,2,0,0
15,2020-03-17,15.0,53,26,27,199,79,120,0,0,0,2,0,0
16,2020-03-18,16.0,47,21,26,246,100,146,1,0,0,3,0,0
17,2020-03-19,17.0,38,15,23,284,115,169,0,0,0,3,0,0
18,2020-03-20,18.0,81,29,52,365,144,221,0,0,0,3,0,0
19,2020-03-21,19.0,68,31,36,433,175,257,1,0,0,4,0,0
20,2020-03-22,20.0,79,39,40,512,214,297,0,0,0,4,0,0
21,2020-03-23,21.0,99,37,62,611,251,359,0,0,0,4,0,0
22,2020-03-24,22.0,113,52,61,724,303,420,3,0,0,7,0,0
23,2020-03-25,23.0,115,52,63,839,355,483,4,1,0,11,1,0
24,2020-03-26,24.0,106,52,54,945,407,537,4,0,0,15,1,0
25,2020-03-27,25.0,114,48,66,1059,455,603,2,0,1,17,1,1
26,2020-03-28,26.0,85,37,48,1144,492,651,2,0,0,19,1,1
27,2020-03-29,27.0,90,41,49,1234,533,700,3,0,0,22,1,1
28,2020-03-30,28.0,127,56,71,1361,589,771,3,0,0,25,1,1
29,2020-03-31,29.0,97,52,45,1458,641,816,3,0,0,28,1,1
30,2020-04-01,30.0,107,42,65,1565,683,881,7,0,1,35,1,2
31,2020-04-02,31.0,136,68,68,1701,751,949,5,0,0,40,1,2
32,2020-04-03,32.0,111,59,52,1812,810,1001,3,0,0,43,1,2
33,2020-04-04,33.0,96,52,44,1908,862,1045,3,0,0,46,1,2
34,2020-04-05,34.0,68,37,31,1976,899,1076,9,0,1,55,1,3
35,2020-04-06,35.0,134,56,78,2110,955,1154,7,1,0,62,2,3
36,2020-04-07,36.0,112,66,46,2222,1021,1200,6,0,0,68,2,3
37,2020-04-08,37.0,104,62,42,2326,1083,1242,11,1,1,79,3,4
38,2020-04-09,38.0,128,74,53,2454,1157,1295,8,0,0,87,3,4
39,2020-04-10,39.0,94,51,43,2548,1208,1338,5,0,0,92,3,4
40,2020-04-11,40.0,143,88,55,2691,1296,1393,5,1,0,97,4,4
41,2020-04-12,41.0,128,69,59,2819,1365,1452,4,0,0,101,4,4
42,2020-04-13,42.0,157,90,66,2976,1455,1518,7,0,1,108,4,5
43,2020-04-14,43.0,125,65,60,3101,1520,1578,9,1,1,117,5,6
44,2020-04-15,44.0,147,69,77,3248,1589,1655,8,0,0,125,5,6
45,2020-04-16,45.0,136,85,51,3384,1674,1706,8,0,0,133,5,6
46,2020-04-17,46.0,150,94,56,3534,1768,1762,6,0,0,139,5,6
47,2020-04-18,47.0,128,73,55,3662,1841,1817,4,1,0,143,6,6
48,2020-04-19,48.0,115,66,49,3777,1907,1866,9,0,1,152,6,7
49,2020-04-20,49.0,181,90,91,3958,1997,1957,7,0,0,159,6,7
50,2020-04-21,50.0,210,118,91,4168,2115,2048,10,1,1,169,7,8
51,2020-04-22,51.0,161,96,65,4329,2211,2113,11,0,1,180,7,9
52,2020-04-23,52.0,279,152,125,4608,2363,2238,10,1,0,190,8,9
53,2020-04-24,53.0,210,105,103,4818,2468,2341,13,0,0,203,8,9
54,2020-04-25,54.0,143,70,73,4961,2538,2414,12,0,1,215,8,10
55,2020-04-26,55.0,101,60,41,5062,2598,2455,6,0,0,221,8,10
56,2020-04-27,56.0,202,109,92,5264,2707,2547,13,1,0,234,9,10
57,2020-04-28,57.0,181,82,99,5445,2789,2646,12,1,0,246,10,10
58,2020-04-29,58.0,178,105,73,5623,2894,2719,10,1,0,256,11,10
59,2020-04-30,59.0,205,118,86,5828,3012,2805,9,0,0,265,11,10
